ESTACION RADAR;ABREVIATURA SASS-C;PROPIEDAD;USO;TIPO;POSICION WGS84;ZONA UTM;SAC;SIC
;;;;;;;;
;;;;;;;;
POZO DE NIEVES (MSSR);GCPN;MILITAR;RUTA;MSSR;27 57 47,3N / 15 34 17,5W;28R;20;55
;;;;;;;;
;;;;;;;;
RANDA (PSR/MSSR-S);LERA;CIVIL;RUTA;PSR + Modo S;39 31 36,8397N / 02 55 42,5230E;31S;20;133
RANDA (ADS-B);LERA;CIVIL;RUTA;ADS-B;39 31 36,8397N / 02 55 42,5230E;31S;20;216
;;;;;;;;
RESVALADERO (MSSR);;MILITAR;RUTA;MSSR;43 10 46,9000N / 03 38 59,5000W;30T;;
;;;;;;;;
;;;;;;;;
ROSAS  (MSSR);;MILITAR;RUTA;MSSR;42 16 53,9000N / 03 14 36,5000E;31T;;
;;;;;;;;
;;;;;;;;
SACTA;;;;;0 0 0,0N / 0 0 0,0E;31T;20;49
;;;;;;;;
;;;;;;;;
SANTIAGO (SMR);LESS;CIVIL;SUPERF.;SMR;42 53 52,9925N / 08 24 46,9197W;29T;0;6
;;;;;;;;
;;;;;;;;
SIERRA ESPUÑA (MSSR);LESÑ;MILITAR;RUTA;MSSR;37 51 47,5000N / 01 34 30,6000W;30T;20;58
;;;;;;;;
;;;;;;;;
SOLLER;LELL;MILITAR;RUTA;MSSR;39 48 26,7000N / 02 47 37,3000E;31S;20;61
;;;;;;;;
;;;;;;;;
SOLÓRZANO (MSSR-S);LESZ;CIVIL;RUTA;Modo S;43 21 31,0967N / 03 33 44,92936W;30T;20;7
;;;;;;;;
;;;;;;;;
TABORNO (MSSR);GCTA;CIVIL;RUTA;MSSR;28 32 10,4415N / 16 16 10,1737W;28R;20;197
;;;;;;;;
;;;;;;;;
TANGER (MSSR-S);;CIVIL;RUTA;Modo S;35 41 55,2000N / 05 54 31,8000W;30S;102;3
;;;;;;;;
;;;;;;;;
TENERIFE NORTE (SMR);GCTN;CIVIL;SUPERF.;SMR;28 28 38,9750N / 16 19 57,0854W;28R;0;1
TENERIFE NORTE (SMMS);GCTF;CIVIL;SUPERF.;SMMS;28 28 57,5634N / 16 20 29,5439W;28R;0;101
;;;;;;;;
;;;;;;;;
TENERIFE SUR (PSR/MSSR-S);GCTE;CIVIL;APROX;PSR + Modo S;28 02 47,4341N / 16 35 10,4574W;28R;20;194
;;;;;;;;
;;;;;;;;
TURRILLAS (MSSR-S);LETU;CIVIL;RUTA;Modo S;36 59 43,5401N / 02 18 04,1329W;30S;20;135
TURRILLAS (ADS-B);LETU;CIVIL;RUTA;ADS-B;36 59 43,5401N / 02 18 04,1329W;30S;20;211
;;;;;;;;
;;;;;;;;
VALDESPINA (MSSR-S);LEVP;CIVIL;RUTA;Modo S;42 08 52,9403N / 04 25 32,4520W;30T;20;8
VALDESPINA (ADS-B);LEVP;CIVIL;RUTA;ADS-B;42 08 52,9403N / 04 25 32,4520W;30T;20;214
;;;;;;;;
;;;;;;;;
VALENCIA (PSR/MSSR);LEVE;CIVIL;APROX;PSR + MSSR;39 29 55,7398N / 00 29 33,8596W;30S;20;130
;;;;;;;;
;;;;;;;;
VALLADOLID (MSSR-S);LEVI;CIVIL;RUTA;Modo S;41 41 58,6106N / 04 51 12,8221W;30T;20;9
;;;;;;;;
;;;;;;;;
VILLATOBAS (MSSR);LEVT;MILITAR;RUTA;MSSR;39 53 14,9000N / 03 18 11,7000W;30S;20;54
